"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","STC"
"Mylanahalli B.O","562123","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"NAGADENAHALLI","562163","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Doddabllapur","Bangalore Rural","KARNATAKA","STC"
"Niduvanda B.O","562132","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Purushanahalli B.O","561204","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Dodballapura","Bangalore Rural","KARNATAKA","STC"
"Rajaghatta B.O","561203","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Doddaballapura","Bangalore Rural","KARNATAKA","STC"
"Ramanagaram S.O","562159","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Ramanagara","Ramanagar","KARNATAKA","STC"
"Sankighatta B.O","562131","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Shivapura B.O","562163","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Doddaballapura","Bangalore Rural","KARNATAKA","STC"
"Sirigiripura B.O","561101","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"T.Hosahalli B.O","562112","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Tarahunise B.O","562157","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bg North","Bangalore","KARNATAKA","STC"
"Tavarekere S.O (Bangalore)","562130","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bangaloresouth","Bangalore","KARNATAKA","STC"
"Tippur B.O","561203","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Doddaballapura","Bangalore Rural","KARNATAKA","STC"
"Tyamagondlu S.O","562132","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Venkatarayanadoddi B.O","562117","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Yeliyur B.O","562110","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Devanhalli","Bangalore Rural","KARNATAKA","STC"
